date,global_total_cases,global_total_deaths
2020-01-01,NULL,NULL
2020-01-02,NULL,NULL
2020-01-03,NULL,NULL
2020-01-04,3,0
2020-01-05,2,3
2020-01-06,5,3
2020-01-07,5,3
2020-01-08,6,3
2020-01-09,6,3
2020-01-10,6,3
2020-01-11,6,3
2020-01-12,47,4
2020-01-13,48,4
2020-01-14,53,4
2020-01-15,53,4
2020-01-16,53,4
2020-01-17,54,5
2020-01-18,58,5
2020-01-19,137,6
2020-01-20,215,7
2020-01-21,308,9
2020-01-22,456,20
2020-01-23,586,21
2020-01-24,857,29
2020-01-25,1330,45
2020-01-26,2032,62
2020-01-27,2822,88
2020-01-28,4597,137
2020-01-29,6070,139
2020-01-30,7828,177
2020-01-31,9834,219
2020-02-01,11952,266
2020-02-02,14566,372
2020-02-03,17402,436
2020-02-04,20649,503
2020-02-05,24591,575
2020-02-06,28303,645
2020-02-07,31458,730
2020-02-08,34859,817
2020-02-09,37558,917
2020-02-10,40551,1024
2020-02-11,43030,1124
2020-02-12,45060,1129
2020-02-13,60228,1382
2020-02-14,64296,1534
2020-02-15,66960,1676
2020-02-16,69000,1781
2020-02-17,71063,1879
2020-02-18,72967,2018
2020-02-19,74766,2131
2020-02-20,75190,2256
2020-02-21,76184,2256
2020-02-22,77252,2465
2020-02-23,78242,2471
2020-02-24,78758,2630
2020-02-25,79556,2709
2020-02-26,80401,2771
2020-02-27,81490,2809
2020-02-28,82692,2866
2020-02-29,84508,2930
2020-03-01,86510,2985
2020-03-02,88450,3053
2020-03-03,90246,3121
2020-03-04,92461,3208
2020-03-05,94626,3297
2020-03-06,97120,3395
2020-03-07,100370,3497
2020-03-08,106716,3635
2020-03-09,109984,3858
2020-03-10,113845,4031
2020-03-11,117770,4300
2020-03-12,123778,4605
2020-03-13,130521,4925
2020-03-14,137837,5326
2020-03-15,167145,6289
2020-03-16,175710,6853
2020-03-17,186064,7441
2020-03-18,197593,8078
2020-03-19,211765,8870
2020-03-20,228796,9693
2020-03-21,249288,10757
2020-03-22,338412,15986
2020-03-23,360852,17179
2020-03-24,387388,18415
2020-03-25,417391,19911
2020-03-26,448665,21509
2020-03-27,486656,23339
2020-03-28,531305,25598
2020-03-29,689774,38270
2020-03-30,732978,40689
2020-03-31,781863,43589
2020-04-01,825761,46615
2020-04-02,877793,50036
2020-04-03,936694,53831
2020-04-04,997479,57962
2020-04-05,1155876,75112
2020-04-06,1215647,79512
2020-04-07,1270298,84390
2020-04-08,1330666,89110
2020-04-09,1394237,94402
2020-04-10,1463847,100106
2020-04-11,1536533,105714
2020-04-12,1679945,122785
2020-04-13,1744257,128286
2020-04-14,1801915,133495
2020-04-15,1859027,138872
2020-04-16,1921488,144739
2020-04-17,1988500,150954
2020-04-18,2062457,158270
2020-04-19,2186711,172738
2020-04-20,2253071,177825
2020-04-21,2317657,183005
2020-04-22,2382908,188470
2020-04-23,2449776,194378
2020-04-24,2522245,199962
2020-04-25,2611390,205451
2020-04-26,2726697,217141
2020-04-27,2802727,222095
2020-04-28,2867965,226729
2020-04-29,2933066,231662
2020-04-30,3003692,237118
2020-05-01,3079649,242844
2020-05-02,3163380,248440
2020-05-03,3272123,258270
2020-05-04,3349696,263063
2020-05-05,3426067,267513
2020-05-06,3498658,271937
2020-05-07,3573713,277978
2020-05-08,3658539,283769
2020-05-09,3746028,289321
2020-05-10,3853351,297187
2020-05-11,3939057,302355
2020-05-12,4009341,306546
2020-05-13,4085272,310678
2020-05-14,4168146,315776
2020-05-15,4251991,320701
2020-05-16,4350806,326202
2020-05-17,4463547,333348
2020-05-18,4557243,338036
2020-05-19,4633887,341966
2020-05-20,4725588,346272
2020-05-21,4825820,351366
2020-05-22,4931190,356370
2020-05-23,5035071,361301
2020-05-24,5159929,368091
2020-05-25,5255404,372316
2020-05-26,5346490,376372
2020-05-27,5433599,380518
2020-05-28,5530044,385115
2020-05-29,5635541,390196
2020-05-30,5753382,395489
2020-05-31,5888499,401456
2020-06-01,6013583,406091
2020-06-02,6120695,410243
2020-06-03,6217475,414474
2020-06-04,6339054,419712
2020-06-05,6463060,425147
2020-06-06,6587602,430614
2020-06-07,6732403,436335
2020-06-08,6855652,441336
2020-06-09,6963398,445373
2020-06-10,7069905,449894
2020-06-11,7198879,455216
2020-06-12,7336976,460691
2020-06-13,7476048,466135
2020-06-14,7633762,471602
2020-06-15,7763963,476319
2020-06-16,7880484,480713
2020-06-17,8001213,486730
2020-06-18,8180634,492238
2020-06-19,8325084,497829
2020-06-20,8465102,503346
2020-06-21,8662746,509044
2020-06-22,8815054,514092
2020-06-23,8943099,518170
2020-06-24,9081343,522439
2020-06-25,9251424,527968
2020-06-26,9427960,533299
2020-06-27,9610182,540310
2020-06-28,9819195,545759
2020-06-29,9994711,550729
2020-06-30,10150484,555096
2020-07-01,10317190,559947
2020-07-02,10498226,565209
2020-07-03,10706249,570534
2020-07-04,10916934,576061
2020-07-05,11146542,582121
2020-07-06,11334487,587336
2020-07-07,11498729,592024
2020-07-08,11671697,597057
2020-07-09,11882399,602911
2020-07-10,12104427,608817
2020-07-11,12322997,614769
2020-07-12,12573393,620906
2020-07-13,12788752,626721
2020-07-14,12979380,631866
2020-07-15,13168109,637170
2020-07-16,13395233,643335
2020-07-17,13635011,649826
2020-07-18,13876814,657026
2020-07-19,14146079,663456
2020-07-20,14372147,669437
2020-07-21,14573057,674953
2020-07-22,14777861,680520
2020-07-23,15021244,688104
2020-07-24,15306463,694595
2020-07-25,15583547,701309
2020-07-26,15887368,708237
2020-07-27,16135071,714501
2020-07-28,16346277,720037
2020-07-29,16569336,726010
2020-07-30,16823832,732328
2020-07-31,17117694,739500
2020-08-01,17401235,746101
2020-08-02,17725989,753054
2020-08-03,17975006,759628
2020-08-04,18193120,765395
2020-08-05,18405425,771244
2020-08-06,18668734,778067
2020-08-07,18950623,785142
2020-08-08,19223279,791770
2020-08-09,19564026,798741
2020-08-10,19817542,805205
2020-08-11,20029846,810787
2020-08-12,20250744,816321
2020-08-13,20531056,823086
2020-08-14,20810152,829920
2020-08-15,21094425,836512
2020-08-16,21448924,843425
2020-08-17,21690399,849255
2020-08-18,21901176,854677
2020-08-19,22121510,860264
2020-08-20,22385976,866721
2020-08-21,22657774,873449
2020-08-22,22920591,879583
2020-08-23,23272070,886131
2020-08-24,23517308,892012
2020-08-25,23728052,897188
2020-08-26,23945761,902519
2020-08-27,24213016,908896
2020-08-28,24484862,915219
2020-08-29,24752564,920981
2020-08-30,25146779,927592
2020-08-31,25403530,933324
2020-09-01,25613113,938072
2020-09-02,25867680,943126
2020-09-03,26133806,949276
2020-09-04,26411692,955428
2020-09-05,26688962,961074
2020-09-06,27131246,967588
2020-09-07,27378737,976697
2020-09-08,27593113,983247
2020-09-09,27814369,987858
2020-09-10,28060864,992794
2020-09-11,28337195,998622
2020-09-12,28620142,1004250
2020-09-13,29087239,1010829
2020-09-14,29351518,1016046
2020-09-15,29580509,1021009
2020-09-16,29825463,1025734
2020-09-17,30103569,1031453
2020-09-18,30395411,1037397
2020-09-19,30681824,1042751
2020-09-20,31182980,1049871
2020-09-21,31447895,1054865
2020-09-22,31673698,1059322
2020-09-23,31925638,1064027
2020-09-24,32216943,1069371
2020-09-25,32503520,1074922
2020-09-26,32790513,1080426
2020-09-27,33286679,1087589
2020-09-28,33550105,1092662
2020-09-29,33774036,1097023
2020-09-30,34027922,1101626
2020-10-01,34318515,1107218
2020-10-02,34616558,1112835
2020-10-03,34910746,1117870
2020-10-04,35419554,1125160
2020-10-05,35692511,1130002
2020-10-06,35922334,1134512
2020-10-07,36194525,1139110
2020-10-08,36515776,1144557
2020-10-09,36829884,1150377
2020-10-10,37150122,1155600
2020-10-11,37784437,1163286
2020-10-12,38069264,1167916
2020-10-13,38322635,1172382
2020-10-14,38615023,1176802
2020-10-15,38929320,1181539
2020-10-16,39268541,1186939
2020-10-17,39609578,1192333
2020-10-18,40382540,1201372
2020-10-19,40686120,1206197
2020-10-20,40959765,1210952
2020-10-21,41302495,1216008
2020-10-22,41673434,1221651
2020-10-23,42059584,1227721
2020-10-24,42451007,1233376
2020-10-25,43473310,1244387
2020-10-26,43825331,1249793
2020-10-27,44129201,1254769
2020-10-28,44514902,1260263
2020-10-29,44932401,1266334
2020-10-30,45360893,1272658
2020-10-31,45798117,1278938
2020-11-01,46999664,1293880
2020-11-02,47379416,1299837
2020-11-03,47786236,1305444
2020-11-04,48200065,1311630
2020-11-05,48648037,1318689
2020-11-06,49130072,1326249
2020-11-07,49620087,1333976
2020-11-08,50857111,1352931
2020-11-09,51298236,1359345
2020-11-10,51694342,1365755
2020-11-11,52159567,1372901
2020-11-12,52672247,1380930
2020-11-13,53216596,1388842
2020-11-14,53754200,1397031
2020-11-15,54906226,1418351
2020-11-16,55384506,1426391
2020-11-17,55804717,1433165
2020-11-18,56277789,1440458
2020-11-19,56815683,1449387
2020-11-20,57360091,1458531
2020-11-21,57912761,1467885
2020-11-22,59016858,1491825
2020-11-23,59500550,1499960
2020-11-24,59927661,1508068
2020-11-25,60410040,1516747
2020-11-26,60937410,1525989
2020-11-27,61521608,1535879
2020-11-28,62039231,1544930
2020-11-29,63038870,1568000
2020-11-30,63512349,1575932
2020-12-01,63945562,1583936
2020-12-02,64428313,1592664
2020-12-03,64998776,1602547
2020-12-04,65593697,1613055
2020-12-05,66191189,1623417
2020-12-06,67239529,1647444
2020-12-07,67756785,1656133
2020-12-08,68221127,1663909
2020-12-09,68735458,1673115
2020-12-10,69337471,1682864
2020-12-11,69937378,1694030
2020-12-12,70522496,1704120
2020-12-13,71633853,1729905
2020-12-14,72159217,1738910
2020-12-15,72624898,1747413
2020-12-16,73169871,1756874
2020-12-17,73744181,1767309
2020-12-18,74386167,1778322
2020-12-19,75029422,1789706
2020-12-20,76176152,1815595
2020-12-21,76695609,1825151
2020-12-22,77172885,1833818
2020-12-23,77699247,1843451
2020-12-24,78291669,1854316
2020-12-25,78878303,1865137
2020-12-26,79422569,1875192
2020-12-27,80293964,1897386
2020-12-28,80700830,1905564
2020-12-29,81146425,1914508
2020-12-30,81659886,1924645
2020-12-31,82312579,1936601
2021-01-01,82973505,1948957
2021-01-02,83564147,1960226
2021-01-03,84540436,1983681
2021-01-04,85057873,1992834
2021-01-05,85580175,2001702
2021-01-06,86150533,2012030
2021-01-07,86835535,2024329
2021-01-08,87529947,2036799
2021-01-09,88248569,2050080
2021-01-10,89546822,2076030
2021-01-11,90155760,2087434
2021-01-12,90696773,2098107
2021-01-13,91261228,2109925
2021-01-14,91889275,2123264
2021-01-15,92512005,2137003
2021-01-16,93128205,2150266
2021-01-17,94398595,2176998
2021-01-18,94929985,2189056
2021-01-19,95399171,2200281
2021-01-20,95871569,2212025
2021-01-21,96388177,2224991
2021-01-22,96942043,2239162
2021-01-23,97469278,2252776
2021-01-24,98624135,2280713
2021-01-25,99076912,2292450
2021-01-26,99457080,2303512
2021-01-27,99879059,2315013
2021-01-28,100355187,2328736
2021-01-29,100848903,2342284
2021-01-30,101323347,2355469
2021-01-31,102358500,2381367
2021-02-01,102755861,2392288
2021-02-02,103086827,2402150
2021-02-03,103460690,2412776
2021-02-04,103875329,2424597
2021-02-05,104276884,2436387
2021-02-06,104688246,2447401
2021-02-07,105522590,2470649
2021-02-08,105862782,2480414
2021-02-09,106156761,2488866
2021-02-10,106465684,2498184
2021-02-11,106819824,2508756
2021-02-12,107192667,2519433
2021-02-13,107559354,2530295
2021-02-14,108242087,2552134
2021-02-15,108533150,2561552
2021-02-16,108790579,2569313
2021-02-17,109079667,2577001
2021-02-18,109398848,2585199
2021-02-19,109731521,2594336
2021-02-20,110063223,2603631
2021-02-21,110715321,2620559
2021-02-22,111016908,2628319
2021-02-23,111283367,2635466
2021-02-24,111580828,2643039
2021-02-25,111942901,2651349
2021-02-26,112313234,2660078
2021-02-27,112680452,2669509
2021-02-28,113376080,2684558
2021-03-01,113689721,2692070
2021-03-02,113959550,2698649
2021-03-03,114271127,2705831
2021-03-04,114628760,2713615
2021-03-05,115006073,2722404
2021-03-06,115381186,2730311
2021-03-07,116111347,2745033
2021-03-08,116431268,2752076
2021-03-09,116753449,2758766
2021-03-10,117065365,2765542
2021-03-11,117450789,2773560
2021-03-12,117855649,2782565
2021-03-13,118260489,2791011
2021-03-14,119072221,2805709
2021-03-15,119421837,2813012
2021-03-16,119733316,2819630
2021-03-17,120083404,2826609
2021-03-18,120525864,2835468
2021-03-19,120985272,2844454
2021-03-20,121446044,2853301
2021-03-21,122397933,2868886
2021-03-22,122806780,2878723
2021-03-23,123167995,2885642
2021-03-24,123580522,2893535
2021-03-25,124075419,2903054
2021-03-26,124596977,2911698
2021-03-27,125115698,2920842
2021-03-28,126227888,2937960
2021-03-29,126693278,2946918
2021-03-30,127098427,2955014
2021-03-31,127541164,2963371
2021-04-01,128079381,2973976
2021-04-02,128638376,2984637
2021-04-03,129205696,2995401
2021-04-04,130339905,3013377
2021-04-05,130807874,3021536
2021-04-06,131234506,3028417
2021-04-07,131720057,3036988
2021-04-08,132342792,3049438
2021-04-09,133000765,3061246
2021-04-10,133651792,3073788
2021-04-11,134898160,3093742
2021-04-12,135505935,3103741
2021-04-13,136054032,3113098
2021-04-14,136662981,3122820
2021-04-15,137370923,3135195
2021-04-16,138079568,3147322
2021-04-17,138797045,3159576
2021-04-18,140130621,3179639
2021-04-19,140838199,3191038
2021-04-20,141477334,3201243
2021-04-21,142156430,3212082
2021-04-22,142940325,3225170
2021-04-23,143740938,3238391
2021-04-24,144503710,3250268
2021-04-25,145826309,3271063
2021-04-26,146560958,3283596
2021-04-27,147209538,3294479
2021-04-28,147903056,3306014
2021-04-29,148698106,3320183
2021-04-30,149503113,3333903
2021-05-01,150292349,3347177
2021-05-02,151520056,3367061
2021-05-03,152230440,3379248
2021-05-04,152868737,3389801
2021-05-05,153548873,3401063
2021-05-06,154325825,3414685
2021-05-07,155110652,3427946
2021-05-08,155868539,3440852
2021-05-09,156984360,3459289
2021-05-10,157657696,3471326
2021-05-11,158264440,3482243
2021-05-12,158874256,3493307
2021-05-13,159570776,3505977
2021-05-14,160246328,3518590
2021-05-15,160888357,3530464
2021-05-16,161796165,3546883
2021-05-17,162383977,3558608
2021-05-18,162907784,3569781
2021-05-19,163438574,3581239
2021-05-20,164043114,3593716
2021-05-21,164641567,3606221
2021-05-22,165227061,3618462
2021-05-23,166011648,3633071
2021-05-24,166518547,3644177
2021-05-25,166950817,3653241
2021-05-26,167416673,3663863
2021-05-27,167951069,3675316
2021-05-28,168469635,3686880
2021-05-29,168945148,3697890
2021-05-30,169558899,3711672
2021-05-31,170005018,3721787
2021-06-01,170377432,3730114
2021-06-02,170751957,3739010
2021-06-03,171188339,3749147
2021-06-04,171642363,3759458
2021-06-05,172062605,3769346
2021-06-06,172564637,3780117
2021-06-07,172931809,3788789
2021-06-08,173245346,3796627
2021-06-09,173576196,3804724
2021-06-10,173940027,3818103
2021-06-11,174349357,3829212
2021-06-12,174740816,3840256
2021-06-13,175212346,3851296
2021-06-14,175567865,3861632
2021-06-15,175867084,3869751
2021-06-16,176172695,3877514
2021-06-17,176546921,3887064
2021-06-18,176945780,3896378
2021-06-19,177311009,3904855
2021-06-20,177749119,3914211
2021-06-21,178088195,3922184
2021-06-22,178389534,3928944
2021-06-23,178705952,3935982
2021-06-24,179110045,3944452
2021-06-25,179539375,3952994
2021-06-26,179926072,3961201
2021-06-27,180380853,3970281
2021-06-28,180743175,3977561
2021-06-29,181062513,3984131
2021-06-30,181404260,3990657
2021-07-01,181809324,3998877
2021-07-02,182195939,4007681
2021-07-03,182605880,4015649
2021-07-04,183140844,4023943
2021-07-05,183513247,4031330
2021-07-06,183851635,4037997
2021-07-07,184225240,4045172
2021-07-08,184680973,4053511
2021-07-09,185133110,4061618
2021-07-10,185733262,4069973
2021-07-11,186426757,4078544
2021-07-12,186836466,4086228
2021-07-13,187220068,4094017
2021-07-14,187661850,4101401
2021-07-15,188158985,4109534
2021-07-16,188677898,4117996
2021-07-17,189191226,4126223
2021-07-18,190033550,4134852
2021-07-19,190459189,4142376
2021-07-20,190869552,4149565
2021-07-21,191322213,4169488
2021-07-22,191799392,4177755
2021-07-23,192304012,4186351
2021-07-24,192818368,4195170
2021-07-25,193790225,4204481
2021-07-26,194244700,4213081
2021-07-27,194685538,4221786
2021-07-28,195218627,4230362
2021-07-29,195808502,4240472
2021-07-30,196404416,4250164
2021-07-31,196984281,4259580
2021-08-01,197933692,4269569
2021-08-02,198433069,4278553
2021-08-03,198918212,4287620
2021-08-04,199489118,4296846
2021-08-05,200101489,4306882
2021-08-06,200770183,4317348
2021-08-07,201395334,4327383
2021-08-08,202354538,4338469
2021-08-09,202906515,4348286
2021-08-10,203413461,4357211
2021-08-11,203977410,4366314
2021-08-12,204609044,4376604
2021-08-13,205263088,4386664
2021-08-14,205917204,4396613
2021-08-15,206873477,4408148
2021-08-16,207422786,4418045
2021-08-17,207942233,4426518
2021-08-18,208522835,4435601
2021-08-19,209202378,4446341
2021-08-20,209873105,4457114
2021-08-21,210524529,4466972
2021-08-22,211471306,4479548
2021-08-23,212003297,4489364
2021-08-24,212524535,4497844
2021-08-25,213112702,4507545
2021-08-26,213772939,4518223
2021-08-27,214433099,4528193
2021-08-28,215097477,4538177
2021-08-29,216038759,4550353
2021-08-30,216577844,4559257
2021-08-31,217066081,4568042
2021-09-01,217617933,4577200
2021-09-02,218252548,4586919
2021-09-03,218899666,4596795
2021-09-04,219521681,4606411
2021-09-05,220396766,4618186
2021-09-06,220900141,4627247
2021-09-07,221376486,4635325
2021-09-08,221889006,4643654
2021-09-09,222406301,4651943
2021-09-10,222958999,4660249
2021-09-11,223542559,4669505
2021-09-12,224326519,4680752
2021-09-13,224790973,4689550
2021-09-14,225231169,4696676
2021-09-15,225707350,4704125
2021-09-16,226234584,4713230
2021-09-17,226750890,4722476
2021-09-18,227285946,4730644
2021-09-19,228011189,4741577
2021-09-20,228569793,4749268
2021-09-21,228971253,4755522
2021-09-22,229402570,4762742
2021-09-23,229872974,4771205
2021-09-24,230368557,4778957
2021-09-25,230845589,4786600
2021-09-26,231518174,4796965
2021-09-27,231897735,4803330
2021-09-28,232242466,4809581
2021-09-29,232659817,4816740
2021-09-30,233100853,4824635
2021-10-01,233541340,4832225
2021-10-02,233980761,4839253
2021-10-03,234628399,4849321
2021-10-04,234964858,4854992
2021-10-05,235288293,4860009
2021-10-06,235678395,4865884
2021-10-07,236095546,4873212
2021-10-08,236519768,4880384
2021-10-09,236923406,4886989
2021-10-10,237585282,4897654
2021-10-11,237907579,4902810
2021-10-12,238219566,4908122
2021-10-13,238595025,4913781
2021-10-14,238987488,4920368
2021-10-15,239379155,4926884
2021-10-16,239779145,4933103
2021-10-17,240468692,4943727
2021-10-18,240782998,4948963
2021-10-19,241091780,4953694
2021-10-20,241475090,4960389
2021-10-21,241876514,4966942
2021-10-22,242278022,4973585
2021-10-23,242672056,4979948
2021-10-24,243475023,4993064
2021-10-25,243771247,4998273
2021-10-26,244051254,5002975
2021-10-27,244444948,5009044
2021-10-28,244866466,5016703
2021-10-29,245274926,5023734
2021-10-30,245705294,5030244
2021-10-31,246602759,5043947
2021-11-01,246897619,5048735
2021-11-02,247183935,5053335
2021-11-03,247596017,5059305
2021-11-04,247989715,5065828
2021-11-05,248395491,5071961
2021-11-06,248797475,5078156
2021-11-07,249782952,5093160
2021-11-08,250088859,5098049
2021-11-09,250393646,5102630
2021-11-10,250844104,5108732
2021-11-11,251270659,5115245
2021-11-12,251695959,5121527
2021-11-13,252083303,5127498
2021-11-14,253260851,5143684
2021-11-15,253612340,5149113
2021-11-16,253926417,5153657
2021-11-17,254412231,5159915
2021-11-18,254861841,5166630
2021-11-19,255317914,5173601
2021-11-20,255785812,5182295
2021-11-21,257124163,5198388
2021-11-22,257466277,5203327
2021-11-23,257825872,5208144
2021-11-24,258363441,5214474
2021-11-25,258836773,5221316
2021-11-26,259325578,5227915
2021-11-27,259748185,5233261
2021-11-28,261171392,5248569
2021-11-29,261521931,5253387
2021-11-30,261876198,5258176
2021-12-01,262342211,5264839
2021-12-02,262844706,5271687
2021-12-03,263358841,5278649
2021-12-04,263863482,5284888
2021-12-05,265444672,5302460
2021-12-06,265805517,5307448
2021-12-07,266161383,5312233
2021-12-08,266717782,5318268
2021-12-09,267225125,5325027
2021-12-10,267726980,5331608
2021-12-11,268221594,5337433
2021-12-12,269758600,5352244
2021-12-13,270134886,5356853
2021-12-14,270507895,5361593
2021-12-15,271091705,5367558
2021-12-16,271654293,5374130
2021-12-17,272230113,5380899
2021-12-18,272802169,5386334
2021-12-19,274461246,5399596
2021-12-20,274883592,5403865
2021-12-21,275339344,5408659
2021-12-22,276060941,5414848
2021-12-23,276765116,5421660
2021-12-24,277522739,5428018
2021-12-25,278298308,5435221
2021-12-26,280549803,5446171
2021-12-27,281025368,5450021
2021-12-28,281708821,5454211
2021-12-29,282873829,5460493
2021-12-30,284029646,5467424
2021-12-31,285377906,5473385
2022-01-01,286806367,5478730
